"tree_age","tree_simulation_number","node","state","T_F_U"
8,1,51,"regular",TRUE
8,1,58,"regular",TRUE
8,1,59,"rateau",TRUE
8,1,60,"regular",TRUE
8,1,61,"regular",FALSE
8,1,62,"rateau",TRUE
8,1,63,"rateau",TRUE
8,1,64,"rateau",FALSE
8,1,65,"regular",FALSE
8,1,66,"regular",TRUE
8,1,67,"regular",TRUE
8,1,68,"regular",TRUE
8,1,69,"regular",TRUE
8,1,70,"regular",TRUE
8,1,71,"regular",TRUE
8,1,72,"regular",FALSE
8,1,73,"regular",TRUE
8,1,75,"regular",TRUE
8,1,76,"regular",TRUE
8,1,77,"regular",TRUE
8,1,78,"regular",TRUE
8,1,79,"regular",FALSE
8,1,84,"rateau",FALSE
8,1,85,"rateau",FALSE
8,1,86,"rateau",FALSE
8,1,87,"regular",TRUE
8,1,88,"rateau",TRUE
8,1,89,"rateau",TRUE
8,1,90,"regular",TRUE
8,1,91,"regular",TRUE
8,1,92,"rateau",TRUE
8,1,93,"regular",TRUE
8,1,94,"regular",TRUE
8,1,95,"regular",TRUE
8,1,96,"regular",TRUE
8,1,97,"regular",TRUE
8,1,98,"regular",TRUE
8,1,99,"regular",TRUE
8,10,51,"regular",TRUE
8,10,58,"rateau",TRUE
8,10,59,"regular",TRUE
8,10,60,"rateau",TRUE
8,10,61,"regular",TRUE
8,10,62,"regular",TRUE
8,10,63,"rateau",TRUE
8,10,64,"rateau",TRUE
8,10,65,"regular",TRUE
8,10,66,"regular",TRUE
8,10,67,"regular",TRUE
8,10,68,"regular",TRUE
8,10,69,"regular",TRUE
8,10,70,"regular",TRUE
8,10,71,"rateau",TRUE
8,10,72,"regular",FALSE
8,10,73,"regular",TRUE
8,10,74,"regular",TRUE
8,10,75,"regular",TRUE
8,10,76,"regular",TRUE
8,10,77,"regular",TRUE
8,10,78,"regular",TRUE
8,10,79,"regular",TRUE
8,10,80,"regular",TRUE
8,10,81,"regular",TRUE
8,10,83,"regular",FALSE
8,10,84,"rateau",TRUE
8,10,85,"rateau",TRUE
8,10,86,"regular",TRUE
8,10,87,"regular",TRUE
8,10,92,"rateau",FALSE
8,10,93,"rateau",FALSE
8,10,94,"rateau",FALSE
8,10,95,"rateau",FALSE
8,10,96,"rateau",FALSE
8,10,97,"regular",TRUE
8,10,98,"rateau",TRUE
8,10,99,"regular",TRUE
8,11,51,"rateau",TRUE
8,11,58,"rateau",TRUE
8,11,59,"regular",TRUE
8,11,60,"regular",TRUE
8,11,61,"regular",TRUE
8,11,62,"rateau",TRUE
8,11,63,"rateau",TRUE
8,11,64,"rateau",TRUE
8,11,65,"regular",TRUE
8,11,66,"regular",TRUE
8,11,67,"regular",TRUE
8,11,68,"regular",TRUE
8,11,69,"rateau",TRUE
8,11,70,"rateau",TRUE
8,11,71,"rateau",TRUE
8,11,72,"rateau",TRUE
8,11,73,"rateau",FALSE
8,11,74,"regular",TRUE
8,11,75,"rateau",FALSE
8,11,76,"rateau",FALSE
8,11,77,"regular",TRUE
8,11,78,"regular",TRUE
8,11,79,"regular",TRUE
8,11,80,"regular",TRUE
8,11,85,"regular",TRUE
8,11,86,"regular",TRUE
8,11,87,"regular",TRUE
8,11,88,"regular",TRUE
8,11,89,"regular",TRUE
8,11,90,"regular",TRUE
8,11,91,"regular",TRUE
8,11,92,"regular",TRUE
8,11,93,"regular",TRUE
8,11,94,"regular",TRUE
8,11,95,"regular",TRUE
8,11,96,"regular",TRUE
8,11,97,"regular",TRUE
8,11,99,"regular",TRUE
8,12,51,"regular",TRUE
8,12,58,"regular",TRUE
8,12,59,"regular",TRUE
8,12,60,"regular",TRUE
8,12,61,"rateau",TRUE
8,12,62,"rateau",TRUE
8,12,63,"regular",TRUE
8,12,64,"regular",TRUE
8,12,65,"regular",TRUE
8,12,66,"rateau",TRUE
8,12,71,"regular",TRUE
8,12,72,"regular",TRUE
8,12,73,"regular",TRUE
8,12,74,"regular",TRUE
8,12,75,"regular",TRUE
8,12,76,"regular",TRUE
8,12,77,"regular",TRUE
8,12,78,"regular",TRUE
8,12,79,"regular",TRUE
8,12,80,"regular",TRUE
8,12,81,"regular",TRUE
8,12,82,"rateau",TRUE
8,12,83,"rateau",TRUE
8,12,84,"regular",TRUE
8,12,86,"rateau",TRUE
8,12,87,"regular",TRUE
8,12,88,"regular",TRUE
8,12,89,"rateau",FALSE
8,12,90,"rateau",FALSE
8,12,91,"regular",TRUE
8,12,92,"regular",TRUE
8,12,93,"regular",TRUE
8,12,94,"regular",TRUE
8,12,95,"regular",TRUE
8,12,96,"regular",TRUE
8,12,97,"rateau",FALSE
8,12,98,"regular",TRUE
8,12,99,"regular",TRUE
8,13,51,"regular",TRUE
8,13,58,"regular",TRUE
8,13,59,"rateau",TRUE
8,13,60,"rateau",TRUE
8,13,61,"regular",TRUE
8,13,62,"regular",TRUE
8,13,63,"rateau",TRUE
8,13,64,"rateau",TRUE
8,13,65,"rateau",FALSE
8,13,66,"regular",TRUE
8,13,67,"regular",TRUE
8,13,68,"rateau",FALSE
8,13,73,"regular",TRUE
8,13,74,"regular",TRUE
8,13,75,"regular",TRUE
8,13,76,"regular",TRUE
8,13,77,"regular",TRUE
8,13,78,"regular",TRUE
8,13,79,"regular",TRUE
8,13,80,"regular",TRUE
8,13,81,"regular",TRUE
8,13,83,"regular",TRUE
